lenguaje;matematicas;sociales;Id;filosofia;biologia;quimica;fisica;nivel_ingles; sisben;estrato;genero;puntaje_saber11   
alto;alto;alto;1;medio;medio;medio;superior;A1;2;3;Hombre;bajo
medio;bajo;medio;2;medio;medio;alto;alto;A1;1;1;Hombre;bajo
medio;medio;medio;3;alto;medio;medio;medio;A1;5;3;Mujer;bajo
medio;medio;medio;4;medio;medio;alto;alto;A2;5;4;Hombre;bajo
medio;medio;medio;5;medio;medio;medio;alto;A1;1;1;Hombre;bajo
alto;alto;alto;6;alto;medio;alto;alto;A-;1;1;Hombre;bajo
medio;medio;medio;7;medio;medio;medio;alto;A1;1;2;Hombre;bajo
medio;medio;medio;8;medio;medio;medio;medio;A-;3;2;Hombre;bajo
medio;medio;alto;9;medio;medio;alto;alto;A1;2;2;Mujer;bajo
medio;alto;medio;10;medio;medio;medio;medio;A1;-9;2;Mujer;bajo
medio;medio;medio;11;medio;alto;medio;medio;A-;5;3;Hombre;bajo
medio;medio;medio;12;medio;medio;medio;medio;A1;1;1;Mujer;bajo
medio;alto;alto;13;alto;alto;medio;medio;A1;2;3;Hombre;bajo
alto;medio;alto;14;alto;alto;alto;alto;A2;2;2;Mujer;bajo
alto;medio;alto;15;medio;medio;medio;medio;A-;2;1;Hombre;bajo
alto;alto;alto;16;medio;alto;alto;alto;A1;5;6;Mujer;bajo
alto;alto;alto;17;alto;alto;alto;alto;A1;1;1;Mujer;bajo
medio;medio;alto;18;medio;medio;medio;medio;A2;3;3;Mujer;bajo
medio;medio;medio;19;medio;alto;alto;alto;A-;1;1;Hombre;bajo
alto;alto;medio;20;alto;medio;medio;medio;A1;5;3;Hombre;bajo
medio;medio;medio;21;medio;medio;medio;medio;A-;1;2;Hombre;bajo
alto;medio;alto;22;alto;medio;alto;medio;A2;1;1;Hombre;bajo
medio;medio;medio;23;medio;medio;medio;medio;A1;5;3;Hombre;bajo
medio;medio;alto;24;alto;medio;medio;medio;A1;5;3;Hombre;bajo
alto;alto;alto;25;alto;alto;alto;alto;B1;5;2;Mujer;bajo
alto;alto;alto;26;alto;medio;alto;medio;A1;5;3;Hombre;bajo
medio;medio;medio;27;medio;medio;medio;medio;A-;2;2;Hombre;bajo
alto;alto;alto;28;medio;medio;medio;alto;A1;5;2;Mujer;bajo
alto;alto;alto;29;medio;alto;medio;alto;A1;5;2;Mujer;bajo
alto;alto;alto;30;alto;alto;alto;medio;A1;2;2;Hombre;bajo
alto;alto;alto;31;alto;alto;alto;alto;A2;5;4;Hombre;bajo
alto;medio;medio;32;medio;medio;medio;medio;A2;5;5;Mujer;bajo
alto;alto;alto;33;alto;alto;alto;alto;A1;1;3;Mujer;bajo
alto;alto;alto;34;alto;alto;medio;alto;A2;5;2;Mujer;bajo
alto;alto;alto;35;medio;medio;alto;medio;A1;2;2;Mujer;bajo
alto;alto;medio;36;alto;alto;medio;medio;B1;5;4;Hombre;bajo
alto;alto;medio;37;alto;medio;medio;medio;A1;1;1;Hombre;bajo
alto;medio;medio;38;medio;medio;alto;alto;B1;1;1;Hombre;bajo
medio;alto;alto;39;medio;alto;alto;alto;A1;1;1;Hombre;bajo
alto;medio;medio;40;medio;medio;medio;medio;A-;5;3;Mujer;bajo
alto;alto;alto;41;alto;alto;alto;medio;A2;5;3;Hombre;bajo
medio;alto;medio;42;medio;medio;medio;medio;A1;2;2;Hombre;bajo
alto;medio;medio;43;medio;alto;alto;medio;A1;3;3;Mujer;bajo
medio;alto;medio;44;medio;medio;alto;medio;A1;1;1;Hombre;bajo
medio;medio;medio;45;medio;medio;alto;medio;A-;1;1;Hombre;bajo
alto;alto;alto;46;medio;alto;alto;alto;A-;3;3;Mujer;bajo
alto;medio;medio;47;alto;alto;alto;alto;A1;5;3;Hombre;bajo
medio;alto;medio;48;medio;medio;medio;medio;A-;3;3;Hombre;bajo
alto;alto;alto;49;medio;medio;medio;alto;A1;5;2;Hombre;bajo
alto;alto;alto;50;medio;alto;alto;alto;A2;2;2;Mujer;bajo
alto;alto;alto;51;alto;alto;medio;medio;B1;5;5;Hombre;bajo
alto;medio;alto;52;medio;alto;alto;alto;A-;1;3;Hombre;bajo
alto;alto;alto;53;alto;alto;alto;alto;A2;1;1;Mujer;bajo
alto;alto;alto;54;medio;alto;alto;alto;A1;5;3;Hombre;bajo
alto;alto;alto;55;medio;alto;alto;alto;A2;5;3;Hombre;bajo
medio;alto;alto;56;medio;medio;alto;alto;A1;1;1;Hombre;bajo
medio;alto;alto;57;medio;alto;medio;alto;A1;2;2;Mujer;bajo
alto;alto;alto;58;alto;alto;alto;medio;A2;5;3;Hombre;bajo
medio;medio;medio;59;medio;medio;medio;medio;A-;2;2;Mujer;bajo
alto;medio;alto;60;medio;alto;alto;medio;A1;2;2;Hombre;bajo
medio;medio;alto;61;alto;alto;medio;alto;A1;1;2;Hombre;bajo
alto;superior;alto;62;alto;superior;alto;superior;A1;5;5;Hombre;bajo
alto;superior;alto;63;medio;medio;alto;alto;B+;5;6;Hombre;bajo
alto;medio;alto;64;alto;alto;alto;alto;A2;5;3;Hombre;bajo
alto;medio;medio;65;medio;medio;medio;alto;A-;5;2;Mujer;bajo
alto;alto;alto;66;medio;alto;alto;alto;B1;5;4;Mujer;bajo
alto;alto;alto;67;medio;medio;alto;medio;A2;5;2;Hombre;bajo
alto;superior;alto;68;alto;alto;alto;alto;B+;5;4;Mujer;bajo
medio;alto;medio;69;alto;medio;medio;alto;A1;1;1;Mujer;bajo
medio;alto;alto;70;medio;medio;medio;medio;A-;2;3;Mujer;bajo
alto;medio;alto;71;medio;medio;medio;medio;A-;2;2;Mujer;bajo
medio;alto;medio;72;medio;alto;alto;medio;A-;3;3;Hombre;bajo
medio;medio;medio;73;medio;medio;medio;medio;A-;1;3;Hombre;bajo
alto;alto;alto;74;alto;alto;alto;medio;A2;5;3;Hombre;bajo
medio;alto;alto;75;alto;alto;alto;alto;A1;2;2;Mujer;bajo
medio;medio;medio;76;alto;alto;medio;alto;A1;2;2;Hombre;bajo
medio;alto;alto;77;medio;medio;medio;medio;A-;2;3;Mujer;bajo
alto;medio;alto;78;medio;alto;medio;medio;A1;2;2;Hombre;bajo
medio;medio;medio;79;medio;medio;medio;alto;A1;5;2;Hombre;bajo
medio;alto;medio;80;alto;medio;medio;medio;A1;1;1;Mujer;bajo
alto;alto;alto;81;alto;alto;alto;alto;A2;5;4;Hombre;bajo
medio;alto;medio;82;medio;medio;alto;medio;A1;5;3;Hombre;bajo
alto;alto;alto;83;alto;alto;alto;alto;A2;5;4;Hombre;bajo
alto;alto;alto;84;alto;alto;alto;alto;A2;2;2;Hombre;bajo
alto;medio;medio;85;medio;alto;medio;medio;A1;5;2;Hombre;bajo
alto;alto;alto;86;medio;alto;alto;medio;A2;3;3;Hombre;bajo
alto;alto;alto;87;medio;medio;medio;alto;B1;5;2;Hombre;bajo
medio;medio;alto;88;alto;alto;alto;alto;A-;2;2;Hombre;bajo
medio;medio;alto;89;alto;medio;alto;alto;A1;5;3;Hombre;bajo
alto;medio;alto;90;medio;alto;medio;alto;A-;1;1;Hombre;bajo
alto;alto;medio;91;medio;medio;medio;medio;A1;4;5;Hombre;bajo
alto;alto;alto;92;medio;alto;alto;superior;B1;3;3;Hombre;bajo
alto;medio;alto;93;alto;alto;alto;medio;A1;5;2;Hombre;bajo
alto;alto;medio;94;medio;alto;alto;medio;A1;5;2;Mujer;bajo
superior;superior;alto;95;alto;superior;alto;alto;A2;5;3;Hombre;bajo
alto;alto;alto;96;medio;medio;medio;medio;A2;3;3;Mujer;bajo
alto;alto;alto;97;alto;medio;alto;alto;A1;2;1;Mujer;bajo
alto;superior;alto;98;alto;alto;alto;alto;A1;2;3;Mujer;bajo
alto;medio;alto;99;alto;alto;alto;alto;B1;5;3;Hombre;bajo
medio;alto;medio;100;alto;medio;medio;medio;A-;5;2;Hombre;bajo
alto;medio;medio;101;medio;medio;alto;medio;A-;1;1;Hombre;bajo
alto;alto;alto;102;medio;alto;medio;medio;A1;5;2;Mujer;bajo
medio;alto;alto;103;alto;alto;medio;medio;A1;2;3;Hombre;bajo
medio;alto;medio;104;medio;alto;medio;medio;A2;5;3;Hombre;bajo
medio;medio;medio;105;medio;medio;medio;medio;A-;5;4;Hombre;bajo
alto;medio;alto;106;medio;alto;alto;alto;A1;3;2;Hombre;bajo
alto;medio;medio;107;medio;medio;medio;alto;A-;1;1;Hombre;bajo
alto;alto;alto;108;alto;alto;alto;alto;A1;2;3;Mujer;bajo
medio;alto;alto;109;medio;medio;medio;medio;A2;5;3;Hombre;bajo
alto;alto;alto;110;alto;alto;medio;alto;A-;1;1;Hombre;bajo
alto;superior;alto;111;alto;alto;alto;alto;A2;5;4;Mujer;bajo
alto;alto;medio;112;alto;alto;alto;medio;A2;5;3;Mujer;bajo
alto;alto;alto;113;alto;alto;alto;alto;A1;2;3;Hombre;bajo
medio;medio;medio;114;medio;medio;medio;medio;A-;5;3;Hombre;bajo
medio;medio;alto;115;alto;medio;medio;medio;A1;5;3;Hombre;bajo
medio;alto;medio;116;alto;medio;medio;alto;A1;5;3;Mujer;bajo
alto;alto;alto;117;medio;alto;alto;medio;A1;5;3;Hombre;bajo
medio;medio;alto;118;medio;alto;medio;medio;A1;2;2;Hombre;bajo
medio;medio;medio;119;medio;alto;alto;alto;A1;1;1;Hombre;bajo
medio;medio;medio;120;medio;alto;alto;medio;B+;5;2;Hombre;bajo
alto;medio;alto;121;alto;alto;medio;medio;A1;5;3;Hombre;bajo
alto;alto;alto;122;medio;alto;medio;medio;A1;5;4;Hombre;bajo
alto;medio;alto;123;alto;medio;alto;medio;A1;5;3;Hombre;bajo
medio;bajo;bajo;124;bajo;medio;medio;medio;A-;5;2;Hombre;bajo
alto;alto;alto;125;medio;medio;alto;alto;A2;1;2;Hombre;bajo
alto;medio;medio;126;medio;alto;medio;medio;A1;5;3;Hombre;bajo
alto;alto;alto;127;medio;alto;alto;alto;A1;5;2;Hombre;bajo
medio;medio;medio;128;medio;alto;medio;medio;A1;3;2;Hombre;bajo
